filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_indoor_1.mat,376,0.05,6,0.048845183194640894,0.9995483288166215,0.16711833785004518,0.0,0.9920212765957447,0.0026595744680851063,0.0
../data/data_mobile_indoor_1.mat,376,0.05,7,0.0448477537549047,0.9977164939399262,0.13841559810293344,0.0,0.9840425531914894,0.0,0.0
../data/data_mobile_indoor_1.mat,376,0.05,8,0.0448134173773391,0.9860373647984267,0.14277286135693215,0.0,0.9228723404255319,0.013297872340425532,0.0
../data/data_mobile_indoor_1.mat,376,0.05,9,0.05178861442217644,0.9922727272727273,0.13045454545454546,0.0,0.9654255319148937,0.0026595744680851063,0.0
../data/data_mobile_indoor_1.mat,376,0.05,10,0.04937173441915206,0.9992082343626286,0.15017154922143044,0.0,0.9920212765957447,0.007978723404255319,0.0

filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_indoor_2.mat,13,0.05,2,1.0,0.7140845070422536,0.26901408450704223,0.07746478873239436,0.15384615384615385,0.0,0.0
../data/data_mobile_indoor_2.mat,13,0.05,3,0.08035723676093316,0.9548532731376975,0.10609480812641084,0.0,0.8461538461538461,0.0,0.0
../data/data_mobile_indoor_2.mat,13,0.05,4,0.051936464184220155,0.9712643678160919,0.1867816091954023,0.0,0.9230769230769231,0.0,0.0
../data/data_mobile_indoor_2.mat,13,0.05,5,0.02638744635050294,1.0,0.11469534050179211,0.0,1.0,0.0,0.0
../data/data_mobile_indoor_2.mat,13,0.05,6,0.02778139639665213,1.0,0.09482758620689655,0.0,1.0,0.0,0.0
../data/data_mobile_indoor_2.mat,13,0.05,7,0.026009669770955694,1.0,0.08290155440414508,0.0,1.0,0.0,0.0
../data/data_mobile_indoor_2.mat,13,0.05,8,0.031079063518476863,0.9941860465116279,0.09883720930232558,0.0,0.9230769230769231,0.0,0.0
../data/data_mobile_indoor_2.mat,13,0.05,9,0.0327458926140525,0.9865771812080537,0.04697986577181208,0.0,0.8461538461538461,0.0,0.0
../data/data_mobile_indoor_2.mat,13,0.05,10,0.029200207717764038,1.0,0.104,0.0,1.0,0.0,0.0

filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_indoor_2.mat,331,0.05,2,1.0000000000000142,0.615550397877984,0.2480106100795756,0.0607316534040672,0.17220543806646527,0.0,0.0
../data/data_mobile_indoor_2.mat,331,0.05,3,0.08353086389586799,0.9687980851427594,0.11420755684732432,0.0018806633612583347,0.9305135951661632,0.0,0.0
../data/data_mobile_indoor_2.mat,331,0.05,4,0.09408515602680263,0.985559162655323,0.157617821560506,0.0003358334266203963,0.9395770392749244,0.0,0.0
../data/data_mobile_indoor_2.mat,331,0.05,5,0.08094699801784397,0.9960068454078722,0.14090131203650885,0.0001426126640045636,0.9848942598187311,0.0030211480362537764,0.0
../data/data_mobile_indoor_2.mat,331,0.05,6,0.09512356881716406,0.9935020519835841,0.09370725034199727,0.0,0.9848942598187311,0.0,0.0
../data/data_mobile_indoor_2.mat,331,0.05,7,0.08219156868098589,0.9943955164131305,0.07105684547638111,0.0,0.9848942598187311,0.0,0.0
../data/data_mobile_indoor_2.mat,331,0.05,8,0.07966045216694091,0.9853965401033475,0.07840934621433386,0.0,0.9003021148036254,0.0,0.0
../data/data_mobile_indoor_2.mat,331,0.05,9,0.09942137215290726,0.986985944820406,0.06428943258719418,0.0,0.945619335347432,0.0,0.0
../data/data_mobile_indoor_2.mat,331,0.05,10,0.08983469070089742,0.9901256732495511,0.0661280670257331,0.0,0.9637462235649547,0.0,0.0

filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_indoor_1.mat,157,0.03,2,1.0,0.4082486551105798,0.21960549910340704,0.052121936640765094,0.050955414012738856,0.0,0.0
../data/data_static_indoor_1.mat,157,0.03,3,0.028661349712857092,0.9996380090497737,0.2302262443438914,0.0009049773755656109,0.9872611464968153,0.03184713375796178,0.0
../data/data_static_indoor_1.mat,157,0.03,4,0.02095748476230308,0.9995247148288974,0.33293726235741444,0.0002376425855513308,0.9872611464968153,0.044585987261146494,0.0
